2617926,19826941,ジェニファー ,あいみょん ,1,松井 裕樹
6445193,42746269,君は100% ,ポルノグラフィティ ,12,近藤 弘樹
778975,3995219,Bailar ,Deorro ,13,森原 康平
331910,749815,Out Of Orbit ～Triple ZERO～ ,T.M.Revolution ,14,則本 昂大
43732,419797,Around the World ,Red Hot Chili Peppers ,15,J.T.シャギワ
9459874,57777927,果てない空 ,嵐 ,16,涌井 秀章
334505,769609,Whistle ,Flo Rida ,19,藤平 尚真
8931322,55266642,君に捧げる応援歌 ,HIPPY ,20,安樂 智大
9629646,58621011,Alone Together ,フォール・アウト・ボーイ ,21,釜田 佳直
457277,1577598,Firestone ,Kygo ,22,牧田 和久
5991137,41196269,High Hopes ,Panic! At The Disco ,28,酒居 知史
1948786,12890230,主役はU ,C&K ,31,福井 優也
841685,4479179,ゴッズ・ゴナ・カット・ユー・ダウン ,ジョニー・キャッシュ ,32,アラン・ブセニッツ
9629643,58620968,The Phoenix ,フォール・アウト・ボーイ ,39,引地 秀一郎
2359537,17275360,千% ,KICK THE CAN CREW ,41,青山 浩二
2995054,23907312,START IT AGAIN ,AK-69 ,45,菅原 秀
2523,12763,Some Nights ,Fun. ,47,渡邊 佑樹
10405168,62000010,KING & ASHLEY ,MY FIRST STORY ,53,高梨 雄平
8708160,54251860,Wasted Nights ,ONE OK ROCK ,56,鈴木 翔天
401738,934964,Danger Zone ,Kenny Loggins ,57,瀧中 瞭太
8656034,53446416,STILL ROCK CITY (feat. APOLLO / KENTY GROSS & NATURAL WEAPON) ,RED SPIDER ,58,辛島 航
332913,758454,GLAMOROUS SKY ,NANA starring MIKA NAKASHIMA ,59,熊原 健人
8912355,55192371,NACHNA ,HISATOMI ,60,石橋 良太
10876269,64179416,We Are Young ,FUN. ,61,佐藤 智輝
8630801,53016771,Aurora ,BUMP OF CHICKEN ,62,西口 直人
1042811,5906511,ライトスタンド ,ベリーグッドマン ,68,寺岡 寛治
5493358,38992473,ノーダウト ,Official髭男dism ,91,久保 裕也
5550516,39282936,GET FREE ,DUFF ,16,森 雄大
7965611,47713394,bad guy ,ビリー・アイリッシュ ,17,王 彦程
298144,692422,太陽になりたいよ ,RYO the SKYWALKER ,131,木村 敏靖
10597905,62907989,飛行艇 ,King Gnu ,135,清宮 虎多朗
2160702,15276539,奏全域 ,UVERworld ,136,則本 佳樹
969288,5415915,RGTO feat. SALU / H.TEFLON & Kダブシャイン ,AKLO ,138,小峯 新陸
9143803,56216036,Dear Diary ,安室奈美恵 ,2,太田 光
849592,4507496,PRIDE ～君がくれたもの～ ,ET-KING ,27,岡島 豪郎
327619,716459,SUNDAY ,ザ・ベイビースターズ ,27,岡島 豪郎
5421115,38550450,Hello ,ベリーグッドマン ,29,山下 斐紹
578512,3119965,ビリーヴ ,GReeeeN ,44,足立 祐一
7117426,44250368,Million Films ,コブクロ ,65,堀内 謙伍
459548,1595044,Unstoppable ,Sia ,67,下妻 貴寛
6740246,43608542,ZEZE (feat. Travis Scott & Offset) ,Kodak Black ,70,石原 彪
9819621,59445541,We are the one ,DOBERMAN INFINITY ,137,江川 侑斗
9143901,56216749,Hero ,安室奈美恵 ,0,小深田 大翔
294725,662152,希望の唄 ,ウルトラタワー ,5,茂木 栄五郎
5589629,39466347,告白 ,FUNKY MONKEY BABYS ,7,鈴木 大地
295510,670180,24WORLD ,EXILE TRIBE ,24,黒川 史陽
7833028,47269648,栄光の架橋 ,ゆず ,26,渡辺 直人
5687319,40036955,蘇生 ,Mr.Children ,33,銀次
7078268,44196368,Shake! Shake! Shake! ,ナオト・インティライミ ,33,銀次
346190,888956,Beat It ,Michael Jackson ,34,山崎 幹史
6740322,43608992,ライオン ,ベリーグッドマン ,36,内田 靖人
2118,9132,Hypnotize (2007 Remaster) ,The Notorious B.I.G. ,40,ゼラス・ウィーラー
330595,741129,チャンピオン ,遊助 ,48,渡邊 佳明
8101131,48186656,Pretender ,Official髭男dism ,48,渡邊 佳明
689696,3281107,虹 ,TEE ,66,村林 一輝
11466705,66669764,Myself ,長渕剛 ,8,吉持 亮汰
39435,379367,Can't Hold Us (feat. Ray Dalton) ,Macklemore & Ryan Lewis ,133,松本 京志郎
326332,708524,ひまわり ,遊助 ,141,澤野 聖悠
348187,911886,FU ,Miley Cyrus ,4,オコエ 瑠偉
7667249,46756879,サンフラワー ,ポスト・マローン ,4,オコエ 瑠偉
9919891,59945677,BACK TO BACK ,Da-iCE ,8,辰己 涼介
9861710,59711967,キレイな唄 ,阿部真央 ,25,田中 和基
9861710,59712001,這い上がれMY WAY ,阿部真央 ,25,田中 和基
9459870,57777923,青空の下、キミのとなり ,嵐 ,35,島内 宏明
334505,769609,Whistle ,APOLLO ,38,岩見 雅紀
11693228,67807186,Believer,Ken Yokoyama,46,下水流 昂
348366,913878,Chandelier ,Sia ,51,小郷 裕哉
7453660,45982972,The Days ,Nissy(西島隆弘) ,54,和田 恋
8821478,54761544,Drug Lawd ,Masicka ,69,ジャバリ・ブラッシュ
5595511,39497010,Bubble Gum ,VAX ,71,武藤 敦貴
440059,1406978,Vivir Mi Vida ,Marc Anthony ,97,ルシアノ・フェルナンド
5664691,39820192,Powerglide ,レイ・シュリマー ,150,耀飛