"赤西仁【JIN AKANISHI LIVE TOUR 2025 ""REDWEST""】セットリスト",
赤西仁,
https://image.music.rakuten.net/a/f/afdc/6261/9bbb/440e/1fda/b526/67f3/7442.s2.jpg,
https://image.music.rakuten.net/4/4/4475/e80a/a635/cbb4/424c/8926/f074/253e.s2.jpg,
https://image.music.rakuten.net/d/c/dcd7/c3a5/0abd/5e2d/8f95/add1/2a5d/03ea.s2.jpg,
https://image.music.rakuten.net/d/c/dcd7/c3a5/0abd/5e2d/8f95/add1/2a5d/03ea.s2.jpg,
Mi Amor ,赤西 仁 
Yesterday ,赤西 仁 
Back to Me (feat. JULES) ,赤西 仁 
Can I ,赤西 仁 
Lucky ,赤西 仁 
Good Time ,赤西 仁 
Summer Loving ,赤西 仁 
Care ,赤西 仁 
Baby ,赤西 仁 
HIGH LIFE (feat. JULES) ,赤西 仁 
ME ,赤西 仁 
Oowah ,赤西 仁 
Blessèd ,赤西 仁 
Fill Me Up ,赤西 仁 
In The Sky ,赤西 仁 
Dayum ,赤西 仁 
THANK YOU ,赤西 仁 
Hey What’s Up? ,赤西 仁 